Marker	Combined Mutationrate	References
DYS437	1.19e-03 (21 in 17706)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Goedbloed2009, Hohoff2007, Lee2007, Domingues2007, Decker2008, Ballard2005a, Kurihara2004, Gusmão2005, Budowle2005, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS456	4.12e-03 (61 in 14804)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Goedbloed2009, Lee2007, Decker2008, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Hao2024, Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS458	6.63e-03 (98 in 14786)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Goedbloed2009, Lee2007, Decker2008, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Hao2024, Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS635	4.34e-03 (68 in 15660)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Goedbloed2009, Lee2007, Decker2008, Gusmão2005, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Hao2024, Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
YGATAH4	2.55e-03 (39 in 15316)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Goedbloed2009, Lee2007, Decker2008, Kurihara2004, Gusmão2005, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS448	1.19e-03 (17 in 14281)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Goedbloed2009, Lee2007, Decker2008, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS576	1.19e-02 (117 in 9813)	Ballantyne2010, LiYuan2018, Petrovic2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Hao2024, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS481	3.86e-03 (36 in 9328)	Ballantyne2010, Petrovic2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Hao2024, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS549	2.86e-03 (26 in 9093)	Ballantyne2010, Petrovic2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Lee2023, Liu2023, Hao2024, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS533	2.73e-03 (24 in 8795)	Ballantyne2010, Petrovic2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS570	7.78e-03 (74 in 9514)	Ballantyne2010, LiYuan2018, Petrovic2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Hao2024, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS643	9.98e-04 (8 in 8018)	Ballantyne2010, Petrovic2018, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Lee2023, Liu2023, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS627	1.40e-02 (111 in 7930)	Ballantyne2010, LiYuan2018, Lin2020, Fan2020a, FanH2021, Otagiri2022, Liu2023, Hao2024
DYS460	4.36e-03 (33 in 7563)	Ballantyne2010, Lin2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Liu2023, Hao2024
DYS518	1.08e-02 (83 in 7717)	Ballantyne2010, LiYuan2018, Lin2020, Fan2020a, FanH2021, Otagiri2022, Liu2023, Hao2024
DYS449	9.76e-03 (76 in 7784)	Ballantyne2010, LiYuan2018, Lin2020, Fan2020a, FanH2021, Otagiri2022, Liu2023, Hao2024
DYF387S1	6.47e-03 (77 in 11899)	Ballantyne2010, LiYuan2018, Lin2020, Fan2020a, FanH2021, Otagiri2022, Liu2023
